id,lounge_id,master_route_id,average_dwell_time_minutes,min_dwell_time_minutes,max_dwell_time_minutes,peak_hour_dwell_time_minutes,off_peak_dwell_time_minutes,total_stops_recorded,last_calculated_at,created_at,updated_at
7f5d21f2-7973-4ea8-a957-0a2af7f47477,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,6b65a6a4-8b81-48f6-b38a-088ca65ed389,5.35,2.43,13.0,6.33,4.09,190,2026-07-24 00:00:00.000000+00,2026-05-27 00:00:00.000000+00,2026-07-24 00:00:00.000000+00
ecc3b699-0d6d-4b42-bd8b-f6031abb574e,e27a984d-6548-41d0-bfcd-9eb1a7cad415,bdd640fb-0667-4ad1-9c80-317fa3b1799d,4.59,2.11,7.82,5.93,3.32,560,2026-06-02 00:00:00.000000+00,2026-04-28 00:00:00.000000+00,2026-06-02 00:00:00.000000+00
bf4113cb-32e1-4f17-ab47-ed615372ebed,beb79919-3f22-4af8-a3be-d01d43cf2fde,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,3.42,2.46,10.77,6.16,2.25,343,2026-07-07 00:00:00.000000+00,2026-05-15 00:00:00.000000+00,2026-07-07 00:00:00.000000+00
e3f713a7-0de9-4f1b-bc02-24e595c89b2d,24933b83-7577-40a9-a491-f0b2ea1fca65,9a1de644-815e-46d1-bb8f-aa1837f8a88b,3.17,1.07,6.15,4.17,1.8,456,2026-06-30 00:00:00.000000+00,2026-03-10 00:00:00.000000+00,2026-06-30 00:00:00.000000+00
91941591-b134-458f-8837-59f82090f35e,dc713d96-0c0f-4195-817a-f08a1745d6d8,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,4.18,1.47,5.24,6.26,2.71,71,2026-06-21 00:00:00.000000+00,2026-03-26 00:00:00.000000+00,2026-06-21 00:00:00.000000+00
a353ea98-cb68-434e-8a1f-bff22823442c,956269f0-e5d7-4875-adad-d6c795a76d79,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,4.15,0.78,8.83,6.55,3.59,184,2026-07-08 00:00:00.000000+00,2026-04-07 00:00:00.000000+00,2026-07-08 00:00:00.000000+00
bc7637a0-6d98-4416-bae2-719803b68657,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,23b8c1e9-3924-46de-beb1-3b9046685257,9.1,1.53,10.31,10.14,8.23,262,2026-06-17 00:00:00.000000+00,2026-04-29 00:00:00.000000+00,2026-06-17 00:00:00.000000+00
fdc419b2-0a41-4919-8b52-46f3faed5777,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,9a1de644-815e-46d1-bb8f-aa1837f8a88b,6.13,1.59,6.48,9.0,4.73,491,2026-06-26 00:00:00.000000+00,2026-03-01 00:00:00.000000+00,2026-06-26 00:00:00.000000+00
b172ec53-032e-4730-80c9-c3ed8ef90060,e27a984d-6548-41d0-bfcd-9eb1a7cad415,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,8.4,1.83,10.06,10.95,7.56,426,2026-06-05 00:00:00.000000+00,2026-03-31 00:00:00.000000+00,2026-06-05 00:00:00.000000+00
bf4e2e46-9204-49ce-9ba0-c89e75938f5a,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,6.5,1.4,6.51,7.04,5.4,34,2026-07-15 00:00:00.000000+00,2026-03-21 00:00:00.000000+00,2026-07-15 00:00:00.000000+00
a0970ff4-dc42-4980-8059-5e29a226a75b,dc713d96-0c0f-4195-817a-f08a1745d6d8,6b65a6a4-8b81-48f6-b38a-088ca65ed389,7.85,2.43,15.79,10.32,7.11,82,2026-07-15 00:00:00.000000+00,2026-04-29 00:00:00.000000+00,2026-07-15 00:00:00.000000+00
c9a62c37-3507-4c5d-8b62-f5b693423b4f,7e570ddf-8270-40a8-a369-b584ff5e9ff0,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,4.87,2.23,11.13,7.25,3.73,92,2026-07-04 00:00:00.000000+00,2026-05-18 00:00:00.000000+00,2026-07-04 00:00:00.000000+00
5d96120d-0a76-4d91-9e7f-87a777215daa,ff50bde4-3825-47b8-9cab-cc97663f1c97,371ecd7b-27cd-4130-8722-9389571aa876,10.74,2.83,11.52,12.15,10.38,385,2026-06-23 00:00:00.000000+00,2026-04-19 00:00:00.000000+00,2026-06-23 00:00:00.000000+00
df02774d-9482-442f-8095-3c13f06bffa4,24933b83-7577-40a9-a491-f0b2ea1fca65,47378190-96da-4dac-b2ff-5d2a386ecbe0,6.84,2.27,6.93,7.94,6.4,224,2026-07-17 00:00:00.000000+00,2026-05-01 00:00:00.000000+00,2026-07-17 00:00:00.000000+00
785ca87b-1f69-42b1-945e-087f86d4aba8,ff50bde4-3825-47b8-9cab-cc97663f1c97,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,4.17,1.17,12.01,4.83,3.46,554,2026-07-02 00:00:00.000000+00,2026-05-02 00:00:00.000000+00,2026-07-02 00:00:00.000000+00
2dc69c90-e5df-47af-a403-c4bc14860c2d,ff50bde4-3825-47b8-9cab-cc97663f1c97,1a2a73ed-562b-4f79-8374-59eef50bea63,12.95,2.18,13.19,15.66,12.42,305,2026-06-05 00:00:00.000000+00,2026-04-28 00:00:00.000000+00,2026-06-05 00:00:00.000000+00
aeb1fcd3-f836-4a87-aaa2-25714b0d2716,24933b83-7577-40a9-a491-f0b2ea1fca65,23b8c1e9-3924-46de-beb1-3b9046685257,1.42,0.91,4.37,2.3,0.87,564,2026-06-01 00:00:00.000000+00,2026-05-20 00:00:00.000000+00,2026-06-01 00:00:00.000000+00
55fc0f2b-a509-49f1-8505-d91df28bffb9,beb79919-3f22-4af8-a3be-d01d43cf2fde,6b65a6a4-8b81-48f6-b38a-088ca65ed389,6.38,1.37,9.14,7.61,6.0,431,2026-07-23 00:00:00.000000+00,2026-03-30 00:00:00.000000+00,2026-07-23 00:00:00.000000+00
e5f5cdc8-21c7-40f6-9137-67ab4dd85715,ff50bde4-3825-47b8-9cab-cc97663f1c97,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,5.82,2.12,8.36,8.06,4.51,323,2026-06-29 00:00:00.000000+00,2026-04-26 00:00:00.000000+00,2026-06-29 00:00:00.000000+00
9e5e8cfe-2a96-4526-b4ca-6e7074b799ec,beb79919-3f22-4af8-a3be-d01d43cf2fde,1a2a73ed-562b-4f79-8374-59eef50bea63,9.21,1.15,9.45,11.63,8.85,174,2026-06-18 00:00:00.000000+00,2026-04-15 00:00:00.000000+00,2026-06-18 00:00:00.000000+00
5ea2d56b-42aa-4bc7-b0de-13fc2060917a,beb79919-3f22-4af8-a3be-d01d43cf2fde,5be6128e-18c2-4797-a142-ea7d17be3111,13.2,2.27,16.03,14.1,12.76,198,2026-07-06 00:00:00.000000+00,2026-04-10 00:00:00.000000+00,2026-07-06 00:00:00.000000+00
06617f95-eba1-4fa8-9f19-f85b4d330569,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,47378190-96da-4dac-b2ff-5d2a386ecbe0,12.69,2.27,12.92,13.56,11.85,424,2026-07-04 00:00:00.000000+00,2026-03-21 00:00:00.000000+00,2026-07-04 00:00:00.000000+00
795235ad-4ba9-4d78-b498-75d0a5b1c799,dc713d96-0c0f-4195-817a-f08a1745d6d8,1a2a73ed-562b-4f79-8374-59eef50bea63,3.41,0.86,8.81,3.92,2.22,306,2026-06-21 00:00:00.000000+00,2026-05-04 00:00:00.000000+00,2026-06-21 00:00:00.000000+00
3869d3c9-d743-45a8-9e15-ebcc66d137f6,dc713d96-0c0f-4195-817a-f08a1745d6d8,9a1de644-815e-46d1-bb8f-aa1837f8a88b,12.58,2.22,13.73,13.43,11.62,466,2026-06-01 00:00:00.000000+00,2026-04-09 00:00:00.000000+00,2026-06-01 00:00:00.000000+00
d975a562-89d5-4357-9566-1feb05c5bf8d,ff50bde4-3825-47b8-9cab-cc97663f1c97,23b8c1e9-3924-46de-beb1-3b9046685257,3.25,1.32,11.23,5.07,2.01,466,2026-06-12 00:00:00.000000+00,2026-04-05 00:00:00.000000+00,2026-06-12 00:00:00.000000+00
5ea011cd-6d79-48bf-9a92-e740b74966cb,7e570ddf-8270-40a8-a369-b584ff5e9ff0,972a8469-1641-4f82-8b9d-2434e465e150,6.76,1.73,11.57,7.4,5.66,405,2026-06-09 00:00:00.000000+00,2026-04-20 00:00:00.000000+00,2026-06-09 00:00:00.000000+00
7147f758-cdbe-4548-aa65-66e8fe1ad905,ff50bde4-3825-47b8-9cab-cc97663f1c97,bdd640fb-0667-4ad1-9c80-317fa3b1799d,7.63,1.21,7.78,10.32,7.22,305,2026-07-17 00:00:00.000000+00,2026-04-26 00:00:00.000000+00,2026-07-17 00:00:00.000000+00
10ecf6ae-55dd-4f38-bc94-54ae867a211a,7e570ddf-8270-40a8-a369-b584ff5e9ff0,371ecd7b-27cd-4130-8722-9389571aa876,4.98,2.74,6.55,5.7,4.43,394,2026-07-25 00:00:00.000000+00,2026-04-30 00:00:00.000000+00,2026-07-25 00:00:00.000000+00
4a1a4219-61bb-45fb-9510-8bc02f9e1ddb,24933b83-7577-40a9-a491-f0b2ea1fca65,bdd640fb-0667-4ad1-9c80-317fa3b1799d,7.28,1.52,15.41,9.17,6.13,577,2026-06-12 00:00:00.000000+00,2026-03-18 00:00:00.000000+00,2026-06-12 00:00:00.000000+00
433ecd2c-276e-4d67-80a0-586eca8d5d5a,dc713d96-0c0f-4195-817a-f08a1745d6d8,bdd640fb-0667-4ad1-9c80-317fa3b1799d,6.03,2.56,8.49,7.77,4.84,317,2026-06-01 00:00:00.000000+00,2026-03-29 00:00:00.000000+00,2026-06-01 00:00:00.000000+00
7e388a19-46f7-420a-83c4-95061e8e06ed,dc713d96-0c0f-4195-817a-f08a1745d6d8,23b8c1e9-3924-46de-beb1-3b9046685257,7.8,2.13,15.73,9.53,6.67,78,2026-06-01 00:00:00.000000+00,2026-04-01 00:00:00.000000+00,2026-06-01 00:00:00.000000+00
047dd583-9344-4b2f-bba3-16688334e524,ff50bde4-3825-47b8-9cab-cc97663f1c97,c241330b-01a9-471f-9e8a-774bcf36d58b,3.68,1.7,9.37,5.89,2.21,275,2026-06-23 00:00:00.000000+00,2026-03-16 00:00:00.000000+00,2026-06-23 00:00:00.000000+00
f4852088-e97f-4025-a2e1-17986b65450b,beb79919-3f22-4af8-a3be-d01d43cf2fde,c241330b-01a9-471f-9e8a-774bcf36d58b,6.06,0.65,6.81,6.9,5.56,374,2026-06-23 00:00:00.000000+00,2026-04-04 00:00:00.000000+00,2026-06-23 00:00:00.000000+00
52965cf3-8b30-4b4c-aac9-6b60c0ac430a,e27a984d-6548-41d0-bfcd-9eb1a7cad415,17fc695a-07a0-4a6e-8822-e8f36c031199,2.02,1.23,11.54,3.0,0.97,333,2026-07-08 00:00:00.000000+00,2026-03-13 00:00:00.000000+00,2026-07-08 00:00:00.000000+00
c75ff368-5f7d-4bb1-880a-fe9f84a6d693,956269f0-e5d7-4875-adad-d6c795a76d79,17fc695a-07a0-4a6e-8822-e8f36c031199,3.26,2.21,13.16,5.21,1.97,506,2026-06-08 00:00:00.000000+00,2026-03-02 00:00:00.000000+00,2026-06-08 00:00:00.000000+00
88376bbc-d898-46fd-8691-2efef3d6b9f2,beb79919-3f22-4af8-a3be-d01d43cf2fde,23b8c1e9-3924-46de-beb1-3b9046685257,8.14,1.04,9.58,10.63,7.17,574,2026-07-23 00:00:00.000000+00,2026-05-28 00:00:00.000000+00,2026-07-23 00:00:00.000000+00
7122d7a0-d129-42d3-a396-6b835cd14b22,24933b83-7577-40a9-a491-f0b2ea1fca65,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,4.1,1.65,4.64,6.91,3.22,545,2026-07-14 00:00:00.000000+00,2026-04-09 00:00:00.000000+00,2026-07-14 00:00:00.000000+00
35b823e4-2016-4e6d-8eb3-9f633a00c83e,ff50bde4-3825-47b8-9cab-cc97663f1c97,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,4.2,2.27,4.64,5.26,2.87,143,2026-07-14 00:00:00.000000+00,2026-03-19 00:00:00.000000+00,2026-07-14 00:00:00.000000+00
40c56cf6-e895-4041-9e71-afa97815c7df,e27a984d-6548-41d0-bfcd-9eb1a7cad415,1a2a73ed-562b-4f79-8374-59eef50bea63,3.2,1.71,9.32,3.78,2.11,54,2026-06-03 00:00:00.000000+00,2026-05-15 00:00:00.000000+00,2026-06-03 00:00:00.000000+00
f11cc0a4-bf06-4520-988a-617b254338df,24933b83-7577-40a9-a491-f0b2ea1fca65,1a2a73ed-562b-4f79-8374-59eef50bea63,6.58,0.81,10.63,7.58,5.48,294,2026-06-05 00:00:00.000000+00,2026-03-04 00:00:00.000000+00,2026-06-05 00:00:00.000000+00
d9ee9678-8112-40ff-aba4-646336c9b657,e27a984d-6548-41d0-bfcd-9eb1a7cad415,47378190-96da-4dac-b2ff-5d2a386ecbe0,2.31,1.04,5.53,5.06,1.37,496,2026-07-29 00:00:00.000000+00,2026-03-13 00:00:00.000000+00,2026-07-29 00:00:00.000000+00
22cb2720-850c-4dfd-9c3d-ae1977455560,24933b83-7577-40a9-a491-f0b2ea1fca65,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,8.85,2.59,17.35,10.64,8.06,517,2026-06-07 00:00:00.000000+00,2026-04-10 00:00:00.000000+00,2026-06-07 00:00:00.000000+00
39d2d74a-71a7-4782-9751-af9cf9e6debb,956269f0-e5d7-4875-adad-d6c795a76d79,47378190-96da-4dac-b2ff-5d2a386ecbe0,3.83,2.31,5.38,5.29,2.98,577,2026-07-13 00:00:00.000000+00,2026-04-09 00:00:00.000000+00,2026-07-13 00:00:00.000000+00
ac95adb1-ffac-44fd-8345-eeda2de66d5b,7e570ddf-8270-40a8-a369-b584ff5e9ff0,17fc695a-07a0-4a6e-8822-e8f36c031199,9.44,2.96,10.52,12.18,8.18,513,2026-06-23 00:00:00.000000+00,2026-05-26 00:00:00.000000+00,2026-06-23 00:00:00.000000+00
2b3171dc-fa54-4893-a476-231aecdfd364,dc713d96-0c0f-4195-817a-f08a1745d6d8,47378190-96da-4dac-b2ff-5d2a386ecbe0,2.6,2.15,5.26,4.1,1.59,76,2026-07-17 00:00:00.000000+00,2026-03-14 00:00:00.000000+00,2026-07-17 00:00:00.000000+00
94f89e6c-c416-407c-b6a7-87b1c3cb0c28,ff50bde4-3825-47b8-9cab-cc97663f1c97,972a8469-1641-4f82-8b9d-2434e465e150,10.99,1.35,11.08,11.8,9.68,289,2026-06-17 00:00:00.000000+00,2026-05-03 00:00:00.000000+00,2026-06-17 00:00:00.000000+00
197f9b8d-079b-45e6-a275-b1e2f14152c7,7e570ddf-8270-40a8-a369-b584ff5e9ff0,6b65a6a4-8b81-48f6-b38a-088ca65ed389,3.56,1.78,5.7,4.37,2.67,64,2026-07-10 00:00:00.000000+00,2026-03-30 00:00:00.000000+00,2026-07-10 00:00:00.000000+00
a93c9413-1396-4289-829a-988f18a95210,24933b83-7577-40a9-a491-f0b2ea1fca65,6b65a6a4-8b81-48f6-b38a-088ca65ed389,7.8,2.2,16.84,10.0,7.32,542,2026-07-09 00:00:00.000000+00,2026-05-19 00:00:00.000000+00,2026-07-09 00:00:00.000000+00
0816d739-c393-4447-b3dc-50bf04860bee,dc713d96-0c0f-4195-817a-f08a1745d6d8,972a8469-1641-4f82-8b9d-2434e465e150,5.51,1.23,9.7,7.37,4.24,450,2026-07-04 00:00:00.000000+00,2026-05-09 00:00:00.000000+00,2026-07-04 00:00:00.000000+00
c3963bf9-7cc9-4887-a39a-c771b739a28a,e27a984d-6548-41d0-bfcd-9eb1a7cad415,bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,5.88,1.89,15.07,8.15,4.99,122,2026-06-19 00:00:00.000000+00,2026-03-18 00:00:00.000000+00,2026-06-19 00:00:00.000000+00
0b8ce21f-9728-4c5e-8734-a4030fb97b5d,beb79919-3f22-4af8-a3be-d01d43cf2fde,47378190-96da-4dac-b2ff-5d2a386ecbe0,3.84,0.64,6.06,5.28,2.73,141,2026-06-20 00:00:00.000000+00,2026-04-06 00:00:00.000000+00,2026-06-20 00:00:00.000000+00
15bebdd0-97b0-47ce-8fe5-c13ba5e8c198,ff50bde4-3825-47b8-9cab-cc97663f1c97,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,3.06,0.74,7.23,4.44,1.97,77,2026-06-15 00:00:00.000000+00,2026-04-01 00:00:00.000000+00,2026-06-15 00:00:00.000000+00
05391557-4441-42a5-abd1-f826e6c2cbb7,956269f0-e5d7-4875-adad-d6c795a76d79,23b8c1e9-3924-46de-beb1-3b9046685257,2.08,1.34,3.6,3.73,0.74,490,2026-07-02 00:00:00.000000+00,2026-05-12 00:00:00.000000+00,2026-07-02 00:00:00.000000+00
cfbba84a-80b5-4013-bf29-c9e75601f6a5,e27a984d-6548-41d0-bfcd-9eb1a7cad415,9a1de644-815e-46d1-bb8f-aa1837f8a88b,5.49,1.44,8.51,8.01,5.07,357,2026-06-13 00:00:00.000000+00,2026-05-26 00:00:00.000000+00,2026-06-13 00:00:00.000000+00
b7bba2aa-178a-4c73-b53b-a020be2de8c8,24933b83-7577-40a9-a491-f0b2ea1fca65,5be6128e-18c2-4797-a142-ea7d17be3111,3.9,2.63,7.41,5.14,2.91,107,2026-07-09 00:00:00.000000+00,2026-03-29 00:00:00.000000+00,2026-07-09 00:00:00.000000+00
4cc6d67e-cddb-4f9e-8130-0e684d45d885,ff50bde4-3825-47b8-9cab-cc97663f1c97,17fc695a-07a0-4a6e-8822-e8f36c031199,6.57,0.67,13.09,7.59,5.32,453,2026-07-22 00:00:00.000000+00,2026-05-23 00:00:00.000000+00,2026-07-22 00:00:00.000000+00
93ac009a-2fc1-4403-9cda-8cc184274378,7e570ddf-8270-40a8-a369-b584ff5e9ff0,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,6.97,1.13,9.83,8.84,5.61,521,2026-07-15 00:00:00.000000+00,2026-05-20 00:00:00.000000+00,2026-07-15 00:00:00.000000+00
ef444cf5-6f08-4155-a826-6484c4e4fe52,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,8.35,2.91,14.56,11.19,7.41,589,2026-07-24 00:00:00.000000+00,2026-05-18 00:00:00.000000+00,2026-07-24 00:00:00.000000+00
291c0da1-a563-4d3a-897b-c13bd2deb47d,956269f0-e5d7-4875-adad-d6c795a76d79,5be6128e-18c2-4797-a142-ea7d17be3111,6.69,1.59,7.73,7.35,6.15,272,2026-06-17 00:00:00.000000+00,2026-04-22 00:00:00.000000+00,2026-06-17 00:00:00.000000+00
a59caeed-6c09-4204-afa6-681cfdc56285,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,1.21,1.1,5.05,3.7,0.54,47,2026-07-05 00:00:00.000000+00,2026-05-02 00:00:00.000000+00,2026-07-05 00:00:00.000000+00
5d0a06d3-e592-4e7c-a831-99c6f480ada5,e27a984d-6548-41d0-bfcd-9eb1a7cad415,371ecd7b-27cd-4130-8722-9389571aa876,3.65,1.71,3.97,4.36,2.63,102,2026-07-27 00:00:00.000000+00,2026-03-09 00:00:00.000000+00,2026-07-27 00:00:00.000000+00
c66dfe25-f31d-4e25-9496-634fd438231d,7e570ddf-8270-40a8-a369-b584ff5e9ff0,5be6128e-18c2-4797-a142-ea7d17be3111,2.74,2.31,6.14,5.08,1.32,547,2026-07-12 00:00:00.000000+00,2026-05-06 00:00:00.000000+00,2026-07-12 00:00:00.000000+00
1b5829c9-24ef-45a7-b7cf-65ca6c412493,24933b83-7577-40a9-a491-f0b2ea1fca65,972a8469-1641-4f82-8b9d-2434e465e150,5.78,2.0,14.05,8.36,4.6,189,2026-07-29 00:00:00.000000+00,2026-03-31 00:00:00.000000+00,2026-07-29 00:00:00.000000+00
aec7f267-7990-4a27-ac7c-eeb78bb5f242,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,17fc695a-07a0-4a6e-8822-e8f36c031199,4.73,1.6,6.91,6.46,3.98,262,2026-06-20 00:00:00.000000+00,2026-03-15 00:00:00.000000+00,2026-06-20 00:00:00.000000+00
bd4c938c-d76a-45a8-88e9-45489b16acb8,956269f0-e5d7-4875-adad-d6c795a76d79,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,4.3,2.46,6.34,5.72,3.63,65,2026-07-27 00:00:00.000000+00,2026-05-22 00:00:00.000000+00,2026-07-27 00:00:00.000000+00
3c4722f3-c1b4-4d44-929c-f92aefb2d33c,bf3c4c06-4343-48bc-89fa-6a688fb5d27b,5be6128e-18c2-4797-a142-ea7d17be3111,3.63,1.61,3.71,6.45,2.23,314,2026-06-05 00:00:00.000000+00,2026-04-08 00:00:00.000000+00,2026-06-05 00:00:00.000000+00
f0c44ecb-c78a-4900-92bd-16ec148113b4,beb79919-3f22-4af8-a3be-d01d43cf2fde,43b7a3a6-9a8d-4a03-980d-7b71d8f56413,6.57,1.6,7.72,8.68,5.32,513,2026-07-25 00:00:00.000000+00,2026-04-05 00:00:00.000000+00,2026-07-25 00:00:00.000000+00
5a1341e7-10fd-4164-819f-239342ceef41,dc713d96-0c0f-4195-817a-f08a1745d6d8,371ecd7b-27cd-4130-8722-9389571aa876,10.81,1.53,14.47,13.5,9.53,440,2026-07-14 00:00:00.000000+00,2026-03-21 00:00:00.000000+00,2026-07-14 00:00:00.000000+00
a0d80651-3338-42d1-a691-c66400c99370,ff50bde4-3825-47b8-9cab-cc97663f1c97,6b65a6a4-8b81-48f6-b38a-088ca65ed389,9.88,2.24,14.15,10.84,9.05,322,2026-06-08 00:00:00.000000+00,2026-05-22 00:00:00.000000+00,2026-06-08 00:00:00.000000+00
32dba028-4823-4ebe-8cad-e92e53dc4fae,7e570ddf-8270-40a8-a369-b584ff5e9ff0,1a2a73ed-562b-4f79-8374-59eef50bea63,9.72,2.85,10.72,10.55,9.21,96,2026-07-22 00:00:00.000000+00,2026-05-15 00:00:00.000000+00,2026-07-22 00:00:00.000000+00
e826fac7-3a8c-4ed5-a06a-a68a9cac3d21,beb79919-3f22-4af8-a3be-d01d43cf2fde,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,15.32,2.69,16.97,16.38,13.88,101,2026-07-11 00:00:00.000000+00,2026-05-11 00:00:00.000000+00,2026-07-11 00:00:00.000000+00
039d08d0-1e0a-4f12-9136-d4adf27e8ce7,956269f0-e5d7-4875-adad-d6c795a76d79,371ecd7b-27cd-4130-8722-9389571aa876,4.27,2.63,5.28,6.27,3.79,548,2026-06-10 00:00:00.000000+00,2026-04-17 00:00:00.000000+00,2026-06-10 00:00:00.000000+00
