id,route_segment_id,active_trip_id,scheduled_trip_id,bus_id,driver_id,trip_date,segment_start_time,segment_end_time,actual_duration_minutes,estimated_duration_minutes,average_speed_kmh,max_speed_kmh,min_speed_kmh,stop_count,dwell_time_seconds,time_of_day_category,day_of_week,is_holiday,weather_condition,bus_type,bus_occupancy_percentage,driver_experience_years,created_at
00000000-0000-0000-0000-000001610013,00000000-0000-0000-0000-000000310313,00000000-0000-0000-0000-000000610013,00000000-0000-0000-0000-000000710013,00000000-0000-0000-0000-000000910039,00000000-0000-0000-0000-000000810013,2026-02-01,2026-02-01T10:57:00Z,2026-02-01T11:05:23.400Z,8.39,6.00,47.76,65.76,30.76,3,163,morning_peak,sunday,false,fog,Intercity,75,16,2026-02-01T11:05:28.400Z
00000000-0000-0000-0000-000001610014,00000000-0000-0000-0000-000000310414,00000000-0000-0000-0000-000000610014,00000000-0000-0000-0000-000000710014,00000000-0000-0000-0000-000000910042,00000000-0000-0000-0000-000000810014,2026-02-02,2026-02-02T13:25:00Z,2026-02-02T13:56:51Z,31.85,29.00,41.67,60.67,23.67,4,174,midday,monday,false,clear,AC Luxury,88,19,2026-02-02T13:56:56Z
00000000-0000-0000-0000-000001610015,00000000-0000-0000-0000-000000310515,00000000-0000-0000-0000-000000610015,00000000-0000-0000-0000-000000710015,00000000-0000-0000-0000-000000910045,00000000-0000-0000-0000-000000810015,2026-02-03,2026-02-03T15:56:00Z,2026-02-03T16:17:51.600Z,21.86,19.00,29.59,49.59,10.59,0,855,midday,tuesday,false,rain,Normal,35,22,2026-02-03T16:17:56.600Z
00000000-0000-0000-0000-000001610016,00000000-0000-0000-0000-000000310116,00000000-0000-0000-0000-000000610016,00000000-0000-0000-0000-000000710016,00000000-0000-0000-0000-000000910048,00000000-0000-0000-0000-000000810016,2026-02-04,2026-02-04T17:32:00Z,2026-02-04T17:41:46.200Z,9.77,8.00,33.48,54.48,13.48,1,892,midday,wednesday,false,clear,Express,48,1,2026-02-04T17:41:51.200Z
00000000-0000-0000-0000-000001610017,00000000-0000-0000-0000-000000310217,00000000-0000-0000-0000-000000610017,00000000-0000-0000-0000-000000710017,00000000-0000-0000-0000-000000910051,00000000-0000-0000-0000-000000810017,2026-02-05,2026-02-05T20:08:00Z,2026-02-05T20:19:06Z,11.10,7.00,31.35,53.35,10.35,2,47,evening_peak,thursday,true,clear,Semi Luxury,62,4,2026-02-05T20:19:11Z
00000000-0000-0000-0000-000001610018,00000000-0000-0000-0000-000000310318,00000000-0000-0000-0000-000000610018,00000000-0000-0000-0000-000000710018,00000000-0000-0000-0000-000000910054,00000000-0000-0000-0000-000000810018,2026-02-06,2026-02-06T21:49:00Z,2026-02-06T21:55:30Z,6.50,6.00,61.64,75.64,45.64,3,58,evening_peak,friday,false,clear,Intercity,75,7,2026-02-06T21:55:35Z
00000000-0000-0000-0000-000001610019,00000000-0000-0000-0000-000000310419,00000000-0000-0000-0000-000000610019,00000000-0000-0000-0000-000000710019,00000000-0000-0000-0000-000000910057,00000000-0000-0000-0000-000000810019,2026-02-07,2026-02-08T00:30:00Z,2026-02-08T00:57:51.600Z,27.86,29.00,47.64,62.64,30.64,4,69,night,saturday,false,clear,AC Luxury,88,10,2026-02-08T00:57:56.600Z
00000000-0000-0000-0000-000001610020,00000000-0000-0000-0000-000000310520,00000000-0000-0000-0000-000000610020,00000000-0000-0000-0000-000000710020,00000000-0000-0000-0000-000000910060,00000000-0000-0000-0000-000000810020,2026-02-08,2026-02-09T02:56:00Z,2026-02-09T03:24:01.800Z,28.03,23.00,23.08,39.08,5.08,0,80,night,sunday,false,rain,Normal,35,13,2026-02-09T03:24:06.800Z
00000000-0000-0000-0000-000001610021,00000000-0000-0000-0000-000000310101,00000000-0000-0000-0000-000000610021,00000000-0000-0000-0000-000000710021,00000000-0000-0000-0000-000000910063,00000000-0000-0000-0000-000000810021,2026-02-09,2026-02-09T05:17:00Z,2026-02-09T05:25:19.800Z,8.33,8.00,39.27,56.27,20.27,1,91,early_morning,monday,false,clear,Express,48,16,2026-02-09T05:25:24.800Z
00000000-0000-0000-0000-000001610022,00000000-0000-0000-0000-000000310202,00000000-0000-0000-0000-000000610022,00000000-0000-0000-0000-000000710022,00000000-0000-0000-0000-000000910066,00000000-0000-0000-0000-000000810022,2026-02-10,2026-02-10T06:48:00Z,2026-02-10T06:55:24Z,7.40,7.00,47.03,65.03,27.03,2,102,morning_peak,tuesday,false,clear,Semi Luxury,62,19,2026-02-10T06:55:29Z
00000000-0000-0000-0000-000001610023,00000000-0000-0000-0000-000000310303,00000000-0000-0000-0000-000000610023,00000000-0000-0000-0000-000000710023,00000000-0000-0000-0000-000000910069,00000000-0000-0000-0000-000000810023,2026-02-11,2026-02-11T08:37:00Z,2026-02-11T08:44:07.200Z,7.12,6.00,56.28,75.28,35.28,3,113,morning_peak,wednesday,false,clear,Intercity,75,22,2026-02-11T08:44:12.200Z
00000000-0000-0000-0000-000001610024,00000000-0000-0000-0000-000000310404,00000000-0000-0000-0000-000000610024,00000000-0000-0000-0000-000000710024,00000000-0000-0000-0000-000000910072,00000000-0000-0000-0000-000000810024,2026-02-12,2026-02-12T11:05:00Z,2026-02-12T11:36:06.600Z,31.11,29.00,42.66,62.66,26.66,4,124,midday,thursday,false,clear,AC Luxury,88,1,2026-02-12T11:36:11.600Z
00000000-0000-0000-0000-000001610025,00000000-0000-0000-0000-000000310505,00000000-0000-0000-0000-000000610025,00000000-0000-0000-0000-000000710025,00000000-0000-0000-0000-000000910075,00000000-0000-0000-0000-000000810025,2026-02-13,2026-02-13T13:36:00Z,2026-02-13T14:06:42.600Z,30.71,22.00,21.06,42.06,4.06,0,1225,midday,friday,false,rain,Normal,35,4,2026-02-13T14:06:47.600Z
00000000-0000-0000-0000-000001610026,00000000-0000-0000-0000-000000310106,00000000-0000-0000-0000-000000610026,00000000-0000-0000-0000-000000710026,00000000-0000-0000-0000-000000910078,00000000-0000-0000-0000-000000810026,2026-02-14,2026-02-14T15:12:00Z,2026-02-14T15:24:59.400Z,12.99,8.00,25.18,47.18,7.18,1,1262,midday,saturday,false,fog,Express,48,7,2026-02-14T15:25:04.400Z
00000000-0000-0000-0000-000001610027,00000000-0000-0000-0000-000000310207,00000000-0000-0000-0000-000000610027,00000000-0000-0000-0000-000000710027,00000000-0000-0000-0000-000000910081,00000000-0000-0000-0000-000000810027,2026-02-15,2026-02-15T17:48:00Z,2026-02-15T17:54:45Z,6.75,6.00,51.56,65.56,32.56,2,157,evening_peak,sunday,false,clear,Semi Luxury,62,10,2026-02-15T17:54:50Z
00000000-0000-0000-0000-000001610028,00000000-0000-0000-0000-000000310308,00000000-0000-0000-0000-000000610028,00000000-0000-0000-0000-000000710028,00000000-0000-0000-0000-000000910084,00000000-0000-0000-0000-000000810028,2026-02-16,2026-02-16T19:29:00Z,2026-02-16T19:35:51.600Z,6.86,7.00,58.41,73.41,38.41,3,168,evening_peak,monday,false,clear,Intercity,75,13,2026-02-16T19:35:56.600Z
00000000-0000-0000-0000-000001610029,00000000-0000-0000-0000-000000310409,00000000-0000-0000-0000-000000610029,00000000-0000-0000-0000-000000710029,00000000-0000-0000-0000-000000910087,00000000-0000-0000-0000-000000810029,2026-02-17,2026-02-17T22:10:00Z,2026-02-17T22:58:30.600Z,48.51,29.00,27.36,43.36,6.36,4,179,night,tuesday,false,heavy_rain,AC Luxury,88,16,2026-02-17T22:58:35.600Z
00000000-0000-0000-0000-000001610030,00000000-0000-0000-0000-000000310510,00000000-0000-0000-0000-000000610030,00000000-0000-0000-0000-000000710030,00000000-0000-0000-0000-000000910090,00000000-0000-0000-0000-000000810030,2026-02-18,2026-02-19T00:36:00Z,2026-02-19T00:57:26.400Z,21.44,20.00,30.17,47.17,14.17,0,1410,night,wednesday,false,rain,Normal,35,19,2026-02-19T00:57:31.400Z
00000000-0000-0000-0000-000001610031,00000000-0000-0000-0000-000000310111,00000000-0000-0000-0000-000000610031,00000000-0000-0000-0000-000000710031,00000000-0000-0000-0000-000000910093,00000000-0000-0000-0000-000000810031,2026-02-19,2026-02-19T07:37:00Z,2026-02-19T07:44:12.600Z,7.21,8.00,45.37,63.37,28.37,1,1447,early_morning,thursday,false,clear,Express,48,22,2026-02-19T07:44:17.600Z
00000000-0000-0000-0000-000001610032,00000000-0000-0000-0000-000000310212,00000000-0000-0000-0000-000000610032,00000000-0000-0000-0000-000000710032,00000000-0000-0000-0000-000000910096,00000000-0000-0000-0000-000000810032,2026-02-20,2026-02-20T09:08:00Z,2026-02-20T09:19:02.400Z,11.04,8.00,31.52,50.52,13.52,2,52,morning_peak,friday,false,clear,Semi Luxury,62,1,2026-02-20T09:19:07.400Z
00000000-0000-0000-0000-000001610033,00000000-0000-0000-0000-000000310313,00000000-0000-0000-0000-000000610033,00000000-0000-0000-0000-000000710033,00000000-0000-0000-0000-000000910099,00000000-0000-0000-0000-000000810033,2026-02-21,2026-02-21T10:57:00Z,2026-02-21T11:07:16.800Z,10.28,6.00,38.98,58.98,19.98,3,63,morning_peak,saturday,false,clear,Intercity,75,4,2026-02-21T11:07:21.800Z
00000000-0000-0000-0000-000001610034,00000000-0000-0000-0000-000000310414,00000000-0000-0000-0000-000000610034,00000000-0000-0000-0000-000000710034,00000000-0000-0000-0000-000000910002,00000000-0000-0000-0000-000000810034,2026-02-22,2026-02-22T13:25:00Z,2026-02-22T13:54:59.400Z,29.99,29.00,44.25,65.25,24.25,4,74,midday,sunday,true,clear,AC Luxury,88,7,2026-02-22T13:55:04.400Z
00000000-0000-0000-0000-000001610035,00000000-0000-0000-0000-000000310515,00000000-0000-0000-0000-000000610035,00000000-0000-0000-0000-000000710035,00000000-0000-0000-0000-000000910005,00000000-0000-0000-0000-000000810035,2026-02-23,2026-02-23T15:56:00Z,2026-02-23T16:20:57Z,24.95,19.00,25.92,47.92,4.92,0,395,midday,monday,false,rain,Normal,35,10,2026-02-23T16:21:02Z
00000000-0000-0000-0000-000001610036,00000000-0000-0000-0000-000000310116,00000000-0000-0000-0000-000000610036,00000000-0000-0000-0000-000000710036,00000000-0000-0000-0000-000000910008,00000000-0000-0000-0000-000000810036,2026-02-24,2026-02-24T17:32:00Z,2026-02-24T17:37:15.600Z,5.26,8.00,62.19,76.19,46.19,1,432,midday,tuesday,false,clear,Express,48,13,2026-02-24T17:37:20.600Z
00000000-0000-0000-0000-000001610037,00000000-0000-0000-0000-000000310217,00000000-0000-0000-0000-000000610037,00000000-0000-0000-0000-000000710037,00000000-0000-0000-0000-000000910011,00000000-0000-0000-0000-000000810037,2026-02-25,2026-02-25T20:08:00Z,2026-02-25T20:14:30.600Z,6.51,7.00,53.46,68.46,36.46,2,107,evening_peak,wednesday,false,clear,Semi Luxury,62,16,2026-02-25T20:14:35.600Z
00000000-0000-0000-0000-000001610038,00000000-0000-0000-0000-000000310318,00000000-0000-0000-0000-000000610038,00000000-0000-0000-0000-000000710038,00000000-0000-0000-0000-000000910014,00000000-0000-0000-0000-000000810038,2026-02-26,2026-02-26T21:49:00Z,2026-02-26T21:54:49.800Z,5.83,6.00,68.73,84.73,50.73,3,118,evening_peak,thursday,false,clear,Intercity,75,19,2026-02-26T21:54:54.800Z
00000000-0000-0000-0000-000001610039,00000000-0000-0000-0000-000000310419,00000000-0000-0000-0000-000000610039,00000000-0000-0000-0000-000000710039,00000000-0000-0000-0000-000000910017,00000000-0000-0000-0000-000000810039,2026-02-27,2026-02-28T00:30:00Z,2026-02-28T01:06:02.400Z,36.04,29.00,36.83,53.83,17.83,4,129,night,friday,false,fog,AC Luxury,88,22,2026-02-28T01:06:07.400Z
00000000-0000-0000-0000-000001610040,00000000-0000-0000-0000-000000310520,00000000-0000-0000-0000-000000610040,00000000-0000-0000-0000-000000710040,00000000-0000-0000-0000-000000910020,00000000-0000-0000-0000-000000810040,2026-02-28,2026-03-01T02:56:00Z,2026-03-01T03:28:46.200Z,32.77,23.00,19.74,37.74,3.00,0,140,night,saturday,false,rain,Normal,35,1,2026-03-01T03:28:51.200Z
00000000-0000-0000-0000-000001610041,00000000-0000-0000-0000-000000310101,00000000-0000-0000-0000-000000610041,00000000-0000-0000-0000-000000710041,00000000-0000-0000-0000-000000910023,00000000-0000-0000-0000-000000810041,2026-03-01,2026-03-01T05:17:00Z,2026-03-01T05:25:39Z,8.65,8.00,37.82,56.82,16.82,1,151,early_morning,sunday,false,clear,Express,48,4,2026-03-01T05:25:44Z
00000000-0000-0000-0000-000001610042,00000000-0000-0000-0000-000000310202,00000000-0000-0000-0000-000000610042,00000000-0000-0000-0000-000000710042,00000000-0000-0000-0000-000000910026,00000000-0000-0000-0000-000000810042,2026-03-02,2026-03-02T06:48:00Z,2026-03-02T06:58:44.400Z,10.74,7.00,32.40,52.40,16.40,2,162,morning_peak,monday,false,clear,Semi Luxury,62,7,2026-03-02T06:58:49.400Z
00000000-0000-0000-0000-000001610043,00000000-0000-0000-0000-000000310303,00000000-0000-0000-0000-000000610043,00000000-0000-0000-0000-000000710043,00000000-0000-0000-0000-000000910029,00000000-0000-0000-0000-000000810043,2026-03-03,2026-03-03T08:37:00Z,2026-03-03T08:45:51Z,8.85,6.00,45.27,66.27,28.27,3,173,morning_peak,tuesday,false,clear,Intercity,75,10,2026-03-03T08:45:56Z
00000000-0000-0000-0000-000001610044,00000000-0000-0000-0000-000000310404,00000000-0000-0000-0000-000000610044,00000000-0000-0000-0000-000000710044,00000000-0000-0000-0000-000000910032,00000000-0000-0000-0000-000000810044,2026-03-04,2026-03-04T11:05:00Z,2026-03-04T11:34:47.400Z,29.79,29.00,44.55,66.55,26.55,4,24,midday,wednesday,false,clear,AC Luxury,88,13,2026-03-04T11:34:52.400Z
00000000-0000-0000-0000-000001610045,00000000-0000-0000-0000-000000310505,00000000-0000-0000-0000-000000610045,00000000-0000-0000-0000-000000710045,00000000-0000-0000-0000-000000910035,00000000-0000-0000-0000-000000810045,2026-03-05,2026-03-05T13:36:00Z,2026-03-05T14:00:25.800Z,24.43,22.00,26.48,40.48,7.48,0,765,midday,thursday,false,rain,Normal,35,16,2026-03-05T14:00:30.800Z
00000000-0000-0000-0000-000001610046,00000000-0000-0000-0000-000000310106,00000000-0000-0000-0000-000000610046,00000000-0000-0000-0000-000000710046,00000000-0000-0000-0000-000000910038,00000000-0000-0000-0000-000000810046,2026-03-06,2026-03-06T15:12:00Z,2026-03-06T15:17:57Z,5.95,8.00,54.98,69.98,34.98,1,802,midday,friday,false,clear,Express,48,19,2026-03-06T15:18:02Z
00000000-0000-0000-0000-000001610047,00000000-0000-0000-0000-000000310207,00000000-0000-0000-0000-000000610047,00000000-0000-0000-0000-000000710047,00000000-0000-0000-0000-000000910041,00000000-0000-0000-0000-000000810047,2026-03-07,2026-03-07T17:48:00Z,2026-03-07T17:54:13.200Z,6.22,6.00,55.95,71.95,34.95,2,57,evening_peak,saturday,false,clear,Semi Luxury,62,22,2026-03-07T17:54:18.200Z
00000000-0000-0000-0000-000001610048,00000000-0000-0000-0000-000000310308,00000000-0000-0000-0000-000000610048,00000000-0000-0000-0000-000000710048,00000000-0000-0000-0000-000000910044,00000000-0000-0000-0000-000000810048,2026-03-08,2026-03-08T19:29:00Z,2026-03-08T19:38:42.600Z,9.71,7.00,41.26,58.26,25.26,3,68,evening_peak,sunday,false,clear,Intercity,75,1,2026-03-08T19:38:47.600Z
00000000-0000-0000-0000-000001610049,00000000-0000-0000-0000-000000310409,00000000-0000-0000-0000-000000610049,00000000-0000-0000-0000-000000710049,00000000-0000-0000-0000-000000910047,00000000-0000-0000-0000-000000810049,2026-03-09,2026-03-09T22:10:00Z,2026-03-09T22:43:05.400Z,33.09,29.00,40.11,58.11,23.11,4,79,night,monday,false,clear,AC Luxury,88,4,2026-03-09T22:43:10.400Z
00000000-0000-0000-0000-000001610050,00000000-0000-0000-0000-000000310510,00000000-0000-0000-0000-000000610050,00000000-0000-0000-0000-000000710050,00000000-0000-0000-0000-000000910050,00000000-0000-0000-0000-000000810050,2026-03-10,2026-03-11T00:36:00Z,2026-03-11T01:01:16.800Z,25.28,20.00,25.59,44.59,7.59,0,950,night,tuesday,false,rain,Normal,35,7,2026-03-11T01:01:21.800Z
00000000-0000-0000-0000-000001610051,00000000-0000-0000-0000-000000310111,00000000-0000-0000-0000-000000610051,00000000-0000-0000-0000-000000710051,00000000-0000-0000-0000-000000910053,00000000-0000-0000-0000-000000810051,2026-03-11,2026-03-11T07:37:00Z,2026-03-11T07:45:59.400Z,8.99,8.00,36.39,56.39,17.39,1,987,early_morning,wednesday,true,clear,Express,48,10,2026-03-11T07:46:04.400Z
00000000-0000-0000-0000-000001610052,00000000-0000-0000-0000-000000310212,00000000-0000-0000-0000-000000610052,00000000-0000-0000-0000-000000710052,00000000-0000-0000-0000-000000910056,00000000-0000-0000-0000-000000810052,2026-03-12,2026-03-12T09:08:00Z,2026-03-12T09:20:38.400Z,12.64,8.00,27.53,48.53,7.53,2,112,morning_peak,thursday,false,fog,Semi Luxury,62,13,2026-03-12T09:20:43.400Z
00000000-0000-0000-0000-000001610053,00000000-0000-0000-0000-000000310313,00000000-0000-0000-0000-000000610053,00000000-0000-0000-0000-000000710053,00000000-0000-0000-0000-000000910059,00000000-0000-0000-0000-000000810053,2026-03-13,2026-03-13T10:57:00Z,2026-03-13T11:06:28.200Z,9.47,6.00,42.31,64.31,21.31,3,123,morning_peak,friday,false,clear,Intercity,75,16,2026-03-13T11:06:33.200Z
00000000-0000-0000-0000-000001610054,00000000-0000-0000-0000-000000310414,00000000-0000-0000-0000-000000610054,00000000-0000-0000-0000-000000710054,00000000-0000-0000-0000-000000910062,00000000-0000-0000-0000-000000810054,2026-03-14,2026-03-14T13:25:00Z,2026-03-14T13:50:54.600Z,25.91,29.00,51.22,65.22,35.22,4,134,midday,saturday,false,clear,AC Luxury,88,19,2026-03-14T13:50:59.600Z
00000000-0000-0000-0000-000001610055,00000000-0000-0000-0000-000000310515,00000000-0000-0000-0000-000000610055,00000000-0000-0000-0000-000000710055,00000000-0000-0000-0000-000000910065,00000000-0000-0000-0000-000000810055,2026-03-15,2026-03-15T15:56:00Z,2026-03-15T16:15:45.600Z,19.76,19.00,32.73,47.73,15.73,0,1135,midday,sunday,false,rain,Normal,35,22,2026-03-15T16:15:50.600Z
00000000-0000-0000-0000-000001610056,00000000-0000-0000-0000-000000310116,00000000-0000-0000-0000-000000610056,00000000-0000-0000-0000-000000710056,00000000-0000-0000-0000-000000910068,00000000-0000-0000-0000-000000810056,2026-03-16,2026-03-16T17:32:00Z,2026-03-16T17:40:07.800Z,8.13,8.00,40.24,56.24,22.24,1,1172,midday,monday,false,clear,Express,48,1,2026-03-16T17:40:12.800Z
00000000-0000-0000-0000-000001610057,00000000-0000-0000-0000-000000310217,00000000-0000-0000-0000-000000610057,00000000-0000-0000-0000-000000710057,00000000-0000-0000-0000-000000910071,00000000-0000-0000-0000-000000810057,2026-03-17,2026-03-17T20:08:00Z,2026-03-17T20:17:38.400Z,9.64,7.00,36.10,53.10,17.10,2,167,evening_peak,tuesday,false,clear,Semi Luxury,62,4,2026-03-17T20:17:43.400Z
00000000-0000-0000-0000-000001610058,00000000-0000-0000-0000-000000310318,00000000-0000-0000-0000-000000610058,00000000-0000-0000-0000-000000710058,00000000-0000-0000-0000-000000910074,00000000-0000-0000-0000-000000810058,2026-03-18,2026-03-18T21:49:00Z,2026-03-18T22:01:37.200Z,12.62,6.00,31.75,49.75,11.75,3,178,evening_peak,wednesday,false,heavy_rain,Intercity,75,7,2026-03-18T22:01:42.200Z
00000000-0000-0000-0000-000001610059,00000000-0000-0000-0000-000000310419,00000000-0000-0000-0000-000000610059,00000000-0000-0000-0000-000000710059,00000000-0000-0000-0000-000000910077,00000000-0000-0000-0000-000000810059,2026-03-19,2026-03-20T00:30:00Z,2026-03-20T00:59:43.200Z,29.72,29.00,44.66,63.66,23.66,4,29,night,thursday,false,clear,AC Luxury,88,10,2026-03-20T00:59:48.200Z
00000000-0000-0000-0000-000001610060,00000000-0000-0000-0000-000000310520,00000000-0000-0000-0000-000000610060,00000000-0000-0000-0000-000000710060,00000000-0000-0000-0000-000000910080,00000000-0000-0000-0000-000000810060,2026-03-20,2026-03-21T02:56:00Z,2026-03-21T03:25:52.800Z,29.88,23.00,21.65,41.65,5.65,0,40,night,friday,false,rain,Normal,35,13,2026-03-21T03:25:57.800Z
00000000-0000-0000-0000-000001610061,00000000-0000-0000-0000-000000310101,00000000-0000-0000-0000-000000610061,00000000-0000-0000-0000-000000710061,00000000-0000-0000-0000-000000910083,00000000-0000-0000-0000-000000810061,2026-03-21,2026-03-21T05:17:00Z,2026-03-21T05:26:37.200Z,9.62,8.00,34.00,55.00,17.00,1,51,early_morning,saturday,false,clear,Express,48,16,2026-03-21T05:26:42.200Z
00000000-0000-0000-0000-000001610062,00000000-0000-0000-0000-000000310202,00000000-0000-0000-0000-000000610062,00000000-0000-0000-0000-000000710062,00000000-0000-0000-0000-000000910086,00000000-0000-0000-0000-000000810062,2026-03-22,2026-03-22T06:48:00Z,2026-03-22T06:57:49.800Z,9.83,7.00,35.40,57.40,17.40,2,62,morning_peak,sunday,false,clear,Semi Luxury,62,19,2026-03-22T06:57:54.800Z
00000000-0000-0000-0000-000001610063,00000000-0000-0000-0000-000000310303,00000000-0000-0000-0000-000000610063,00000000-0000-0000-0000-000000710063,00000000-0000-0000-0000-000000910089,00000000-0000-0000-0000-000000810063,2026-03-23,2026-03-23T08:37:00Z,2026-03-23T08:42:18.600Z,5.31,6.00,75.46,89.46,56.46,3,73,morning_peak,monday,false,clear,Intercity,75,22,2026-03-23T08:42:23.600Z
00000000-0000-0000-0000-000001610064,00000000-0000-0000-0000-000000310404,00000000-0000-0000-0000-000000610064,00000000-0000-0000-0000-000000710064,00000000-0000-0000-0000-000000910092,00000000-0000-0000-0000-000000810064,2026-03-24,2026-03-24T11:05:00Z,2026-03-24T11:33:02.400Z,28.04,29.00,47.33,62.33,27.33,4,84,midday,tuesday,false,clear,AC Luxury,88,1,2026-03-24T11:33:07.400Z
