id,route_segment_id,trip_context_id,segment_start_time,segment_end_time,actual_duration_minutes,average_speed_kmh,duration_variance_minutes,traffic_level,actual_distance_km,gps_accuracy_meters,data_quality_score,recorded_at
00000000-0000-0000-0000-000001010016,00000000-0000-0000-0000-000000310116,00000000-0000-0000-0000-000000510016,2026-02-04T17:32:00Z,2026-02-04T17:41:46.200Z,9.77,33.48,1.77,light,5.412,6,0.91,2026-02-04T17:41:51.200Z
00000000-0000-0000-0000-000001010017,00000000-0000-0000-0000-000000310217,00000000-0000-0000-0000-000000510017,2026-02-05T20:08:00Z,2026-02-05T20:19:06Z,11.10,31.35,4.10,moderate,5.800,7,0.84,2026-02-05T20:19:11Z
00000000-0000-0000-0000-000001010018,00000000-0000-0000-0000-000000310318,00000000-0000-0000-0000-000000510018,2026-02-06T21:49:00Z,2026-02-06T21:55:30Z,6.50,61.64,0.50,heavy,6.718,8,0.78,2026-02-06T21:55:35Z
00000000-0000-0000-0000-000001010019,00000000-0000-0000-0000-000000310419,00000000-0000-0000-0000-000000510019,2026-02-08T00:30:00Z,2026-02-08T00:57:51.600Z,27.86,47.64,-1.14,light,22.200,9,0.79,2026-02-08T00:57:56.600Z
00000000-0000-0000-0000-000001010020,00000000-0000-0000-0000-000000310520,00000000-0000-0000-0000-000000510020,2026-02-09T02:56:00Z,2026-02-09T03:24:01.800Z,28.03,23.08,5.03,moderate,10.700,10,0.72,2026-02-09T03:24:06.800Z
00000000-0000-0000-0000-000001010021,00000000-0000-0000-0000-000000310101,00000000-0000-0000-0000-000000510021,2026-02-09T05:17:00Z,2026-02-09T05:25:19.800Z,8.33,39.27,0.33,moderate,5.412,11,0.72,2026-02-09T05:25:24.800Z
00000000-0000-0000-0000-000001010022,00000000-0000-0000-0000-000000310202,00000000-0000-0000-0000-000000510022,2026-02-10T06:48:00Z,2026-02-10T06:55:24Z,7.40,47.03,0.40,moderate,5.800,12,0.93,2026-02-10T06:55:29Z
00000000-0000-0000-0000-000001010023,00000000-0000-0000-0000-000000310303,00000000-0000-0000-0000-000000510023,2026-02-11T08:37:00Z,2026-02-11T08:44:07.200Z,7.12,56.28,1.12,moderate,6.718,13,0.86,2026-02-11T08:44:12.200Z
00000000-0000-0000-0000-000001010024,00000000-0000-0000-0000-000000310404,00000000-0000-0000-0000-000000510024,2026-02-12T11:05:00Z,2026-02-12T11:36:06.600Z,31.11,42.66,2.11,light,22.200,14,0.88,2026-02-12T11:36:11.600Z
00000000-0000-0000-0000-000001010025,00000000-0000-0000-0000-000000310505,00000000-0000-0000-0000-000000510025,2026-02-13T13:36:00Z,2026-02-13T14:06:42.600Z,30.71,21.06,8.71,moderate,10.700,15,0.80,2026-02-13T14:06:47.600Z
00000000-0000-0000-0000-000001010026,00000000-0000-0000-0000-000000310106,00000000-0000-0000-0000-000000510026,2026-02-14T15:12:00Z,2026-02-14T15:24:59.400Z,12.99,25.18,4.99,moderate,5.412,16,0.73,2026-02-14T15:25:04.400Z
00000000-0000-0000-0000-000001010027,00000000-0000-0000-0000-000000310207,00000000-0000-0000-0000-000000510027,2026-02-15T17:48:00Z,2026-02-15T17:54:45Z,6.75,51.56,0.75,heavy,5.800,17,0.75,2026-02-15T17:54:50Z
00000000-0000-0000-0000-000001010028,00000000-0000-0000-0000-000000310308,00000000-0000-0000-0000-000000510028,2026-02-16T19:29:00Z,2026-02-16T19:35:51.600Z,6.86,58.41,-0.14,moderate,6.718,18,0.72,2026-02-16T19:35:56.600Z
00000000-0000-0000-0000-000001010029,00000000-0000-0000-0000-000000310409,00000000-0000-0000-0000-000000510029,2026-02-17T22:10:00Z,2026-02-17T22:58:30.600Z,48.51,27.36,19.51,congested,22.200,19,0.84,2026-02-17T22:58:35.600Z
00000000-0000-0000-0000-000001010030,00000000-0000-0000-0000-000000310510,00000000-0000-0000-0000-000000510030,2026-02-19T00:36:00Z,2026-02-19T00:57:26.400Z,21.44,30.17,1.44,moderate,10.700,20,0.89,2026-02-19T00:57:31.400Z
00000000-0000-0000-0000-000001010031,00000000-0000-0000-0000-000000310111,00000000-0000-0000-0000-000000510031,2026-02-19T07:37:00Z,2026-02-19T07:44:12.600Z,7.21,45.37,-0.79,light,5.412,21,0.82,2026-02-19T07:44:17.600Z
00000000-0000-0000-0000-000001010032,00000000-0000-0000-0000-000000310212,00000000-0000-0000-0000-000000510032,2026-02-20T09:08:00Z,2026-02-20T09:19:02.400Z,11.04,31.52,3.04,moderate,5.800,6,0.84,2026-02-20T09:19:07.400Z
00000000-0000-0000-0000-000001010033,00000000-0000-0000-0000-000000310313,00000000-0000-0000-0000-000000510033,2026-02-21T10:57:00Z,2026-02-21T11:07:16.800Z,10.28,38.98,4.28,heavy,6.718,7,0.78,2026-02-21T11:07:21.800Z
00000000-0000-0000-0000-000001010034,00000000-0000-0000-0000-000000310414,00000000-0000-0000-0000-000000510034,2026-02-22T13:25:00Z,2026-02-22T13:54:59.400Z,29.99,44.25,0.99,light,22.200,8,0.94,2026-02-22T13:55:04.400Z
00000000-0000-0000-0000-000001010035,00000000-0000-0000-0000-000000310515,00000000-0000-0000-0000-000000510035,2026-02-23T15:56:00Z,2026-02-23T16:20:57Z,24.95,25.92,5.95,moderate,10.700,9,0.85,2026-02-23T16:21:02Z
00000000-0000-0000-0000-000001010036,00000000-0000-0000-0000-000000310116,00000000-0000-0000-0000-000000510036,2026-02-24T17:32:00Z,2026-02-24T17:37:15.600Z,5.26,62.19,-2.74,light,5.412,10,0.86,2026-02-24T17:37:20.600Z
00000000-0000-0000-0000-000001010037,00000000-0000-0000-0000-000000310217,00000000-0000-0000-0000-000000510037,2026-02-25T20:08:00Z,2026-02-25T20:14:30.600Z,6.51,53.46,-0.49,moderate,5.800,11,0.80,2026-02-25T20:14:35.600Z
00000000-0000-0000-0000-000001010038,00000000-0000-0000-0000-000000310318,00000000-0000-0000-0000-000000510038,2026-02-26T21:49:00Z,2026-02-26T21:54:49.800Z,5.83,68.73,-0.17,moderate,6.718,12,0.74,2026-02-26T21:54:54.800Z
00000000-0000-0000-0000-000001010039,00000000-0000-0000-0000-000000310419,00000000-0000-0000-0000-000000510039,2026-02-28T00:30:00Z,2026-02-28T01:06:02.400Z,36.04,36.83,7.04,moderate,22.200,13,0.76,2026-02-28T01:06:07.400Z
00000000-0000-0000-0000-000001010040,00000000-0000-0000-0000-000000310520,00000000-0000-0000-0000-000000510040,2026-03-01T02:56:00Z,2026-03-01T03:28:46.200Z,32.77,19.74,9.77,moderate,10.700,14,0.72,2026-03-01T03:28:51.200Z
00000000-0000-0000-0000-000001010041,00000000-0000-0000-0000-000000310101,00000000-0000-0000-0000-000000510041,2026-03-01T05:17:00Z,2026-03-01T05:25:39Z,8.65,37.82,0.65,light,5.412,15,0.88,2026-03-01T05:25:44Z
00000000-0000-0000-0000-000001010042,00000000-0000-0000-0000-000000310202,00000000-0000-0000-0000-000000510042,2026-03-02T06:48:00Z,2026-03-02T06:58:44.400Z,10.74,32.40,3.74,heavy,5.800,16,0.89,2026-03-02T06:58:49.400Z
00000000-0000-0000-0000-000001010043,00000000-0000-0000-0000-000000310303,00000000-0000-0000-0000-000000510043,2026-03-03T08:37:00Z,2026-03-03T08:45:51Z,8.85,45.27,2.85,moderate,6.718,17,0.83,2026-03-03T08:45:56Z
00000000-0000-0000-0000-000001010044,00000000-0000-0000-0000-000000310404,00000000-0000-0000-0000-000000510044,2026-03-04T11:05:00Z,2026-03-04T11:34:47.400Z,29.79,44.55,0.79,light,22.200,18,0.85,2026-03-04T11:34:52.400Z
00000000-0000-0000-0000-000001010045,00000000-0000-0000-0000-000000310505,00000000-0000-0000-0000-000000510045,2026-03-05T13:36:00Z,2026-03-05T14:00:25.800Z,24.43,26.48,2.43,moderate,10.700,19,0.76,2026-03-05T14:00:30.800Z
00000000-0000-0000-0000-000001010046,00000000-0000-0000-0000-000000310106,00000000-0000-0000-0000-000000510046,2026-03-06T15:12:00Z,2026-03-06T15:17:57Z,5.95,54.98,-2.05,light,5.412,20,0.72,2026-03-06T15:18:02Z
00000000-0000-0000-0000-000001010047,00000000-0000-0000-0000-000000310207,00000000-0000-0000-0000-000000510047,2026-03-07T17:48:00Z,2026-03-07T17:54:13.200Z,6.22,55.95,0.22,moderate,5.800,21,0.72,2026-03-07T17:54:18.200Z
00000000-0000-0000-0000-000001010048,00000000-0000-0000-0000-000000310308,00000000-0000-0000-0000-000000510048,2026-03-08T19:29:00Z,2026-03-08T19:38:42.600Z,9.71,41.26,2.71,heavy,6.718,6,0.93,2026-03-08T19:38:47.600Z
00000000-0000-0000-0000-000001010049,00000000-0000-0000-0000-000000310409,00000000-0000-0000-0000-000000510049,2026-03-09T22:10:00Z,2026-03-09T22:43:05.400Z,33.09,40.11,4.09,moderate,22.200,7,0.86,2026-03-09T22:43:10.400Z
00000000-0000-0000-0000-000001010050,00000000-0000-0000-0000-000000310510,00000000-0000-0000-0000-000000510050,2026-03-11T00:36:00Z,2026-03-11T01:01:16.800Z,25.28,25.59,5.28,moderate,10.700,8,0.85,2026-03-11T01:01:21.800Z
00000000-0000-0000-0000-000001010051,00000000-0000-0000-0000-000000310111,00000000-0000-0000-0000-000000510051,2026-03-11T07:37:00Z,2026-03-11T07:45:59.400Z,8.99,36.39,0.99,light,5.412,9,0.79,2026-03-11T07:46:04.400Z
00000000-0000-0000-0000-000001010052,00000000-0000-0000-0000-000000310212,00000000-0000-0000-0000-000000510052,2026-03-12T09:08:00Z,2026-03-12T09:20:38.400Z,12.64,27.53,4.64,moderate,5.800,10,0.81,2026-03-12T09:20:43.400Z
00000000-0000-0000-0000-000001010053,00000000-0000-0000-0000-000000310313,00000000-0000-0000-0000-000000510053,2026-03-13T10:57:00Z,2026-03-13T11:06:28.200Z,9.47,42.31,3.47,moderate,6.718,11,0.74,2026-03-13T11:06:33.200Z
00000000-0000-0000-0000-000001010054,00000000-0000-0000-0000-000000310414,00000000-0000-0000-0000-000000510054,2026-03-14T13:25:00Z,2026-03-14T13:50:54.600Z,25.91,51.22,-3.09,light,22.200,12,0.72,2026-03-14T13:50:59.600Z
00000000-0000-0000-0000-000001010055,00000000-0000-0000-0000-000000310515,00000000-0000-0000-0000-000000510055,2026-03-15T15:56:00Z,2026-03-15T16:15:45.600Z,19.76,32.73,0.76,moderate,10.700,13,0.94,2026-03-15T16:15:50.600Z
00000000-0000-0000-0000-000001010056,00000000-0000-0000-0000-000000310116,00000000-0000-0000-0000-000000510056,2026-03-16T17:32:00Z,2026-03-16T17:40:07.800Z,8.13,40.24,0.13,moderate,5.412,14,0.89,2026-03-16T17:40:12.800Z
00000000-0000-0000-0000-000001010057,00000000-0000-0000-0000-000000310217,00000000-0000-0000-0000-000000510057,2026-03-17T20:08:00Z,2026-03-17T20:17:38.400Z,9.64,36.10,2.64,heavy,5.800,15,0.82,2026-03-17T20:17:43.400Z
00000000-0000-0000-0000-000001010058,00000000-0000-0000-0000-000000310318,00000000-0000-0000-0000-000000510058,2026-03-18T21:49:00Z,2026-03-18T22:01:37.200Z,12.62,31.75,6.62,congested,6.718,16,0.78,2026-03-18T22:01:42.200Z
00000000-0000-0000-0000-000001010059,00000000-0000-0000-0000-000000310419,00000000-0000-0000-0000-000000510059,2026-03-20T00:30:00Z,2026-03-20T00:59:43.200Z,29.72,44.66,0.72,light,22.200,17,0.77,2026-03-20T00:59:48.200Z
00000000-0000-0000-0000-000001010060,00000000-0000-0000-0000-000000310520,00000000-0000-0000-0000-000000510060,2026-03-21T02:56:00Z,2026-03-21T03:25:52.800Z,29.88,21.65,6.88,moderate,10.700,18,0.76,2026-03-21T03:25:57.800Z
00000000-0000-0000-0000-000001010061,00000000-0000-0000-0000-000000310101,00000000-0000-0000-0000-000000510061,2026-03-21T05:17:00Z,2026-03-21T05:26:37.200Z,9.62,34.00,1.62,light,5.412,19,0.72,2026-03-21T05:26:42.200Z
00000000-0000-0000-0000-000001010062,00000000-0000-0000-0000-000000310202,00000000-0000-0000-0000-000000510062,2026-03-22T06:48:00Z,2026-03-22T06:57:49.800Z,9.83,35.40,2.83,moderate,5.800,20,0.91,2026-03-22T06:57:54.800Z
00000000-0000-0000-0000-000001010063,00000000-0000-0000-0000-000000310303,00000000-0000-0000-0000-000000510063,2026-03-23T08:37:00Z,2026-03-23T08:42:18.600Z,5.31,75.46,-0.69,heavy,6.718,21,0.93,2026-03-23T08:42:23.600Z
00000000-0000-0000-0000-000001010064,00000000-0000-0000-0000-000000310404,00000000-0000-0000-0000-000000510064,2026-03-24T11:05:00Z,2026-03-24T11:33:02.400Z,28.04,47.33,-0.96,light,22.200,6,0.86,2026-03-24T11:33:07.400Z
00000000-0000-0000-0000-000001010065,00000000-0000-0000-0000-000000310505,00000000-0000-0000-0000-000000510065,2026-03-25T13:36:00Z,2026-03-25T14:04:40.800Z,28.68,22.55,6.68,moderate,10.700,7,0.77,2026-03-25T14:04:45.800Z
00000000-0000-0000-0000-000001010066,00000000-0000-0000-0000-000000310106,00000000-0000-0000-0000-000000510066,2026-03-26T15:12:00Z,2026-03-26T15:19:36Z,7.60,43.04,-0.40,light,5.412,8,0.80,2026-03-26T15:19:41Z
00000000-0000-0000-0000-000001010067,00000000-0000-0000-0000-000000310207,00000000-0000-0000-0000-000000510067,2026-03-27T17:48:00Z,2026-03-27T17:54:57Z,6.95,50.07,0.95,moderate,5.800,9,0.95,2026-03-27T17:55:02Z
00000000-0000-0000-0000-000001010068,00000000-0000-0000-0000-000000310308,00000000-0000-0000-0000-000000510068,2026-03-28T19:29:00Z,2026-03-28T19:37:43.200Z,8.72,45.95,1.72,moderate,6.718,10,0.89,2026-03-28T19:37:48.200Z
00000000-0000-0000-0000-000001010069,00000000-0000-0000-0000-000000310409,00000000-0000-0000-0000-000000510069,2026-03-29T22:10:00Z,2026-03-29T22:37:57Z,27.95,47.48,-1.05,light,22.200,11,0.82,2026-03-29T22:38:02Z
00000000-0000-0000-0000-000001010070,00000000-0000-0000-0000-000000310510,00000000-0000-0000-0000-000000510070,2026-03-31T00:36:00Z,2026-03-31T01:00:25.800Z,24.43,26.48,4.43,moderate,10.700,12,0.82,2026-03-31T01:00:30.800Z
00000000-0000-0000-0000-000001010071,00000000-0000-0000-0000-000000310111,00000000-0000-0000-0000-000000510071,2026-03-31T07:37:00Z,2026-03-31T07:46:29.400Z,9.49,34.47,1.49,light,5.412,13,0.76,2026-03-31T07:46:34.400Z
00000000-0000-0000-0000-000001010072,00000000-0000-0000-0000-000000310212,00000000-0000-0000-0000-000000510072,2026-04-01T09:08:00Z,2026-04-01T09:18:22.800Z,10.38,33.53,2.38,heavy,5.800,14,0.77,2026-04-01T09:18:27.800Z
00000000-0000-0000-0000-000001010073,00000000-0000-0000-0000-000000310313,00000000-0000-0000-0000-000000510073,2026-04-02T10:57:00Z,2026-04-02T11:03:22.800Z,6.38,62.80,0.38,moderate,6.718,15,0.72,2026-04-02T11:03:27.800Z
00000000-0000-0000-0000-000001010074,00000000-0000-0000-0000-000000310414,00000000-0000-0000-0000-000000510074,2026-04-03T13:25:00Z,2026-04-03T13:51:55.200Z,26.92,49.30,-2.08,light,22.200,16,0.91,2026-04-03T13:52:00.200Z
00000000-0000-0000-0000-000001010075,00000000-0000-0000-0000-000000310515,00000000-0000-0000-0000-000000510075,2026-04-04T15:56:00Z,2026-04-04T16:18:18.600Z,22.31,28.99,3.31,moderate,10.700,17,0.91,2026-04-04T16:18:23.600Z
00000000-0000-0000-0000-000001010076,00000000-0000-0000-0000-000000310116,00000000-0000-0000-0000-000000510076,2026-04-05T17:32:00Z,2026-04-05T17:39:41.400Z,7.69,42.54,-0.31,light,5.412,18,0.84,2026-04-05T17:39:46.400Z
00000000-0000-0000-0000-000001010077,00000000-0000-0000-0000-000000310217,00000000-0000-0000-0000-000000510077,2026-04-06T20:08:00Z,2026-04-06T20:16:25.200Z,8.42,41.33,1.42,moderate,5.800,19,0.78,2026-04-06T20:16:30.200Z
00000000-0000-0000-0000-000001010078,00000000-0000-0000-0000-000000310318,00000000-0000-0000-0000-000000510078,2026-04-07T21:49:00Z,2026-04-07T21:59:07.800Z,10.13,39.55,4.13,heavy,6.718,20,0.80,2026-04-07T21:59:12.800Z
00000000-0000-0000-0000-000001010079,00000000-0000-0000-0000-000000310419,00000000-0000-0000-0000-000000510079,2026-04-09T00:30:00Z,2026-04-09T00:58:36.600Z,28.61,46.39,-0.39,light,22.200,21,0.74,2026-04-09T00:58:41.600Z
00000000-0000-0000-0000-000001010080,00000000-0000-0000-0000-000000310520,00000000-0000-0000-0000-000000510080,2026-04-10T02:56:00Z,2026-04-10T03:30:37.200Z,34.62,18.68,11.62,moderate,10.700,6,0.73,2026-04-10T03:30:42.200Z
00000000-0000-0000-0000-000001010081,00000000-0000-0000-0000-000000310101,00000000-0000-0000-0000-000000510081,2026-04-10T05:17:00Z,2026-04-10T05:22:36.600Z,5.61,58.31,-2.39,light,5.412,7,0.94,2026-04-10T05:22:41.600Z
00000000-0000-0000-0000-000001010082,00000000-0000-0000-0000-000000310202,00000000-0000-0000-0000-000000510082,2026-04-11T06:48:00Z,2026-04-11T06:54:55.200Z,6.92,50.29,-0.08,moderate,5.800,8,0.87,2026-04-11T06:55:00.200Z
00000000-0000-0000-0000-000001010083,00000000-0000-0000-0000-000000310303,00000000-0000-0000-0000-000000510083,2026-04-12T08:37:00Z,2026-04-12T08:43:07.800Z,6.13,65.36,0.13,moderate,6.718,9,0.89,2026-04-12T08:43:12.800Z
00000000-0000-0000-0000-000001010084,00000000-0000-0000-0000-000000310404,00000000-0000-0000-0000-000000510084,2026-04-13T11:05:00Z,2026-04-13T11:35:45.600Z,30.76,43.15,1.76,moderate,22.200,10,0.83,2026-04-13T11:35:50.600Z
00000000-0000-0000-0000-000001010085,00000000-0000-0000-0000-000000310505,00000000-0000-0000-0000-000000510085,2026-04-14T13:36:00Z,2026-04-14T14:01:42Z,25.70,25.17,3.70,moderate,10.700,11,0.74,2026-04-14T14:01:47Z
00000000-0000-0000-0000-000001010086,00000000-0000-0000-0000-000000310106,00000000-0000-0000-0000-000000510086,2026-04-15T15:12:00Z,2026-04-15T15:20:03.600Z,8.06,40.59,0.06,light,5.412,12,0.76,2026-04-15T15:20:08.600Z
00000000-0000-0000-0000-000001010087,00000000-0000-0000-0000-000000310207,00000000-0000-0000-0000-000000510087,2026-04-16T17:48:00Z,2026-04-16T18:01:06.600Z,13.11,26.54,7.11,congested,5.800,13,0.72,2026-04-16T18:01:11.600Z
00000000-0000-0000-0000-000001010088,00000000-0000-0000-0000-000000310308,00000000-0000-0000-0000-000000510088,2026-04-17T19:29:00Z,2026-04-17T19:40:31.200Z,11.52,34.78,4.52,moderate,6.718,14,0.72,2026-04-17T19:40:36.200Z
00000000-0000-0000-0000-000001010089,00000000-0000-0000-0000-000000310409,00000000-0000-0000-0000-000000510089,2026-04-18T22:10:00Z,2026-04-18T22:41:05.400Z,31.09,42.69,2.09,light,22.200,15,0.92,2026-04-18T22:41:10.400Z
00000000-0000-0000-0000-000001010090,00000000-0000-0000-0000-000000310510,00000000-0000-0000-0000-000000510090,2026-04-20T00:36:00Z,2026-04-20T00:59:14.400Z,23.24,27.83,3.24,moderate,10.700,16,0.83,2026-04-20T00:59:19.400Z
00000000-0000-0000-0000-000001010091,00000000-0000-0000-0000-000000310111,00000000-0000-0000-0000-000000510091,2026-04-20T07:37:00Z,2026-04-20T07:45:19.800Z,8.33,39.27,0.33,moderate,5.412,17,0.84,2026-04-20T07:45:24.800Z
00000000-0000-0000-0000-000001010092,00000000-0000-0000-0000-000000310212,00000000-0000-0000-0000-000000510092,2026-04-21T09:08:00Z,2026-04-21T09:16:25.200Z,8.42,41.33,0.42,moderate,5.800,18,0.78,2026-04-21T09:16:30.200Z
00000000-0000-0000-0000-000001010093,00000000-0000-0000-0000-000000310313,00000000-0000-0000-0000-000000510093,2026-04-22T10:57:00Z,2026-04-22T11:04:34.200Z,7.57,52.93,1.57,heavy,6.718,19,0.72,2026-04-22T11:04:39.200Z
00000000-0000-0000-0000-000001010094,00000000-0000-0000-0000-000000310414,00000000-0000-0000-0000-000000510094,2026-04-23T13:25:00Z,2026-04-23T13:52:45.600Z,27.76,47.81,-1.24,light,22.200,20,0.74,2026-04-23T13:52:50.600Z
00000000-0000-0000-0000-000001010095,00000000-0000-0000-0000-000000310515,00000000-0000-0000-0000-000000510095,2026-04-24T15:56:00Z,2026-04-24T16:19:47.400Z,23.79,27.19,4.79,moderate,10.700,21,0.72,2026-04-24T16:19:52.400Z
00000000-0000-0000-0000-000001010096,00000000-0000-0000-0000-000000310116,00000000-0000-0000-0000-000000510096,2026-04-25T17:32:00Z,2026-04-25T17:41:21Z,9.35,34.99,1.35,light,5.412,6,0.94,2026-04-25T17:41:26Z
00000000-0000-0000-0000-000001010097,00000000-0000-0000-0000-000000310217,00000000-0000-0000-0000-000000510097,2026-04-26T20:08:00Z,2026-04-26T20:18:29.400Z,10.49,33.17,3.49,moderate,5.800,7,0.88,2026-04-26T20:18:34.400Z
00000000-0000-0000-0000-000001010098,00000000-0000-0000-0000-000000310318,00000000-0000-0000-0000-000000510098,2026-04-27T21:49:00Z,2026-04-27T21:58:32.400Z,9.54,42.00,3.54,moderate,6.718,8,0.82,2026-04-27T21:58:37.400Z
00000000-0000-0000-0000-000001010099,00000000-0000-0000-0000-000000310419,00000000-0000-0000-0000-000000510099,2026-04-29T00:30:00Z,2026-04-29T00:55:58.200Z,25.97,51.11,-3.03,light,22.200,9,0.83,2026-04-29T00:56:03.200Z
00000000-0000-0000-0000-000001010100,00000000-0000-0000-0000-000000310520,00000000-0000-0000-0000-000000510100,2026-04-30T02:56:00Z,2026-04-30T03:22:47.400Z,26.79,24.14,3.79,moderate,10.700,10,0.74,2026-04-30T03:22:52.400Z
